#timestamp, acel_linear, vel_angular
1.89647,8.6987,0.148933
1.89651,8.6987,0.148933
1.90763,9.3132,0.126016
1.91634,9.62045,0.114557
1.92449,9.27857,0.102032
1.93614,9.05066,0.0936822
1.94415,9.40281,0.0966347
1.95629,9.66692,0.0988491
1.96868,9.56357,0.101591
1.97715,9.53651,0.10677
1.99486,9.51437,0.111008
2.02058,9.49591,0.114539
2.03045,9.58011,0.109878
2.04309,9.65228,0.105882
2.05223,9.44702,0.101932
2.05625,9.26741,0.0984755
2.07096,9.31372,0.0973447
2.07735,9.35488,0.0963396
2.08829,9.46342,0.0934903
2.09704,9.5611,0.0909258
2.10436,9.53189,0.0891644
2.1138,9.50534,0.087563
2.12435,9.42505,0.0898088
2.1348,9.35146,0.0918675
2.1466,9.3963,0.095953
2.15355,9.43769,0.0997242
2.16551,9.31906,0.106108
2.17616,9.20891,0.112037
2.18395,9.21914,0.117192
2.19568,9.38765,0.116807
2.20392,9.57351,0.115364
2.21485,9.75937,0.113922
2.22354,9.70022,0.117351
2.23452,9.64108,0.12078
2.24742,9.67045,0.124933
2.25358,9.69983,0.129085
2.26596,9.60905,0.131157
2.27485,9.64373,0.132536
2.28384,9.77103,0.133609
2.29434,9.87979,0.133686
2.30449,9.83284,0.134027
2.31355,9.91463,0.132343
2.32359,9.95317,0.133974
2.33528,9.88092,0.134736
2.34598,9.94258,0.135742
2.35399,10.0042,0.136748
2.36612,9.94984,0.136667
2.37645,10.0061,0.137267
2.38451,10.0101,0.137989
2.39495,10.014,0.138711
2.40547,10.0281,0.137315
2.41509,10.0422,0.13592
2.42368,10.153,0.131825
2.43697,10.2638,0.127729
2.44463,10.2248,0.122966
2.45381,10.1857,0.118203
2.4638,10.1932,0.111537
2.47603,10.2007,0.10487
2.48387,10.1883,0.101301
2.49371,10.0169,0.102928
2.5058,9.78699,0.104
2.51571,9.55709,0.105071
2.52376,9.44631,0.112643
2.53477,9.33554,0.120214
2.54641,9.39394,0.126212
