tempo_s,x_m,y_m,theta_rad
0.0,0.0,0.0,0.0
0.05,0.025,0.0,0.0
0.1,0.05,0.0,0.0
0.15,0.075,0.0,0.0
0.2,0.1,0.0,0.0
0.25,0.125,0.0,0.0
0.3,0.15,0.0,0.0
0.35,0.175,0.0,0.0
0.4,0.2,0.0,0.0
0.45,0.225,0.0,0.0
0.5,0.25,0.0,0.0
0.55,0.275,0.0,0.0
0.6,0.3,0.0,0.0
0.65,0.325,0.0,0.0
0.7,0.35,0.0,0.0
0.75,0.375,0.0,0.0
0.8,0.4,0.0,0.0
0.85,0.425,0.0,0.0
0.9,0.45,0.0,0.0
0.95,0.475,0.0,0.0
1.0,0.5,0.0,0.0
1.05,0.525,0.0,0.0
1.1,0.55,0.0,0.0
1.15,0.575,0.0,0.0
1.2,0.6,0.0,0.0
1.25,0.625,0.0,0.0
1.3,0.65,0.0,0.0
1.35,0.675,0.0,0.0
1.4,0.7,0.0,0.0
1.45,0.725,0.0,0.0
1.5,0.75,0.0,0.0
1.55,0.775,0.0,0.0
1.6,0.8,0.0,0.0
1.65,0.825,0.0,0.0
1.7,0.85,0.0,0.0
1.75,0.875,0.0,0.0
1.8,0.9,0.0,0.0
1.85,0.925,0.0,0.0
1.9,0.95,0.0,0.0
1.95,0.975,0.0,0.0
2.0,1.0,0.0,0.0
2.05,1.024971,0.001041,0.083333
2.1,1.049769,0.004157,0.166667
2.15,1.074221,0.009326,0.25
2.2,1.098158,0.016513,0.333333
2.25,1.121414,0.025667,0.416667
2.3,1.143828,0.036725,0.5
2.35,1.165243,0.049611,0.583333
2.4,1.185511,0.064234,0.666667
2.45,1.204492,0.080493,0.75
2.5,1.222053,0.098276,0.833333
2.55,1.238073,0.117459,0.916667
2.6,1.252441,0.137909,1.0
2.65,1.265057,0.159484,1.083333
2.7,1.275833,0.182034,1.166667
2.75,1.284695,0.205403,1.25
2.8,1.291581,0.229429,1.333333
2.85,1.296444,0.253944,1.416667
2.9,1.299248,0.278779,1.5
2.95,1.299976,0.303761,1.583333
3.0,1.298622,0.328717,1.666667
3.05,1.295196,0.353474,1.75
3.1,1.28972,0.377859,1.833333
3.15,1.282234,0.401705,1.916667
3.2,1.272789,0.424844,2.0
3.25,1.261451,0.447117,2.083333
3.3,1.248298,0.468369,2.166667
3.35,1.233422,0.488452,2.25
3.4,1.216926,0.507227,2.333333
3.45,1.198924,0.524565,2.416667
3.5,1.179542,0.540343,2.5
3.55,1.158913,0.554454,2.583333
3.6,1.137182,0.566798,2.666667
3.65,1.114949,0.57823,2.666667
3.7,1.092715,0.589662,2.666667
3.75,1.070482,0.601093,2.666667
3.8,1.048249,0.612525,2.666667
3.85,1.026016,0.623957,2.666667
3.9,1.003783,0.635389,2.666667
3.95,0.98155,0.646821,2.666667
4.0,0.959316,0.658252,2.666667
4.05,0.937083,0.669684,2.666667
4.1,0.91485,0.681116,2.666667
4.15,0.892617,0.692548,2.666667
4.2,0.870384,0.70398,2.666667
4.25,0.848151,0.715412,2.666667
4.3,0.825917,0.726843,2.666667
4.35,0.803684,0.738275,2.666667
4.4,0.781451,0.749707,2.666667
4.45,0.759218,0.761139,2.666667
4.5,0.736985,0.772571,2.666667
4.55,0.714752,0.784002,2.666667
4.6,0.692519,0.795434,2.666667
4.65,0.670285,0.806866,2.666667
4.7,0.648052,0.818298,2.666667
4.75,0.625819,0.82973,2.666667
4.8,0.603586,0.841162,2.666667
4.85,0.581353,0.852593,2.666667
4.9,0.55912,0.864025,2.666667
4.95,0.536886,0.875457,2.666667
5.0,0.514653,0.886889,2.666667
5.05,0.49242,0.898321,2.666667
5.1,0.470187,0.909752,2.666667
5.15,0.447954,0.921184,2.666667
5.2,0.425721,0.932616,2.666667
5.25,0.403487,0.944048,2.666667
5.3,0.381254,0.95548,2.666667
5.35,0.359021,0.966912,2.666667
5.4,0.336788,0.978343,2.666667
5.45,0.314555,0.989775,2.666667
5.5,0.292322,1.001207,2.666667
5.55,0.270088,1.012639,2.666667
5.6,0.247855,1.024071,2.666667
5.65,0.226124,1.036415,2.583333
5.7,0.205495,1.050525,2.5
5.75,0.186113,1.066304,2.416667
5.8,0.168111,1.083641,2.333333
5.85,0.151615,1.102416,2.25
5.9,0.136739,1.1225,2.166667
5.95,0.123586,1.143752,2.083333
6.0,0.112248,1.166025,2.0
6.05,0.102803,1.189164,1.916667
6.1,0.095317,1.213009,1.833333
6.15,0.089841,1.237395,1.75
6.2,0.086415,1.262152,1.666667
6.25,0.085061,1.287108,1.583333
6.3,0.085789,1.31209,1.5
6.35,0.088593,1.336925,1.416667
6.4,0.093456,1.36144,1.333333
6.45,0.100342,1.385465,1.25
6.5,0.109204,1.408834,1.166667
6.55,0.11998,1.431384,1.083333
6.6,0.132596,1.452959,1.0
6.65,0.146964,1.473409,0.916667
6.7,0.162984,1.492592,0.833333
6.75,0.180545,1.510375,0.75
6.8,0.199526,1.526635,0.666667
6.85,0.219794,1.541258,0.583333
6.9,0.241209,1.554143,0.5
6.95,0.263623,1.565201,0.416667
7.0,0.286879,1.574356,0.333333
7.05,0.310816,1.581542,0.25
7.1,0.335268,1.586712,0.166667
7.15,0.360066,1.589828,0.083333
7.2,0.385037,1.590869,0.0
